Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
Sample_BkSQ.93_006.fq,0.002483975522927035,0,0,0,0,0.030130468322631773,0.024668290348653435,0.010482858193891439,0,0,0.038648902976607634,0,0,0,0,0,0,0.015168937341838747,0,0.023085293671292608,0.08779921363428358,0.7675320599878737,0,0.6216414813970351,0.8920281048969727
Sample_BkSQ.95_012.fq,0.0064995480376847286,0,0,0,0,0.08264934607412053,0,0.007860504260765516,0,0,0,0.04678828928217852,0,0,0,0,0,0.04055958125760437,0,0.16736767941487232,0.06582212355000332,0.5824529281227706,0,0.5505668837658539,0.8882041130934425
Sample_BkSQ.213_004.fq,0.003685930603659546,0,0.005857577388637317,0,0,0.2459445281942049,0.0329845161055451,0,0,0,0.08221738998783912,0,0,0.12329506611258186,0,0,0,0.01641319987595442,0,0.02013644519457024,0.06036974387702118,0.4090956026599864,0,0.4261199319018907,0.9328227525218618
Sample_BkSQ.96_002.fq,0,0,0.01043279780551821,0.057926707941079056,0,0.08757103811710726,0,0.021246802849812275,0,0,0.011869522332656323,0.012385242670579487,0.024180414863903734,0.5440947585351509,0.005105573669439898,0.047523167901560595,0.006756429475347675,0,0.01783549628342505,0,0.037546702807654486,0.11552534474676511,0,0.2265844162985844,1.0620688215645284
Sample_BkSQ.97_004.fq,0.010718053015534941,0,0.007459491515352832,0.02198430101888691,0,0.14676589043937346,0.02351937611948963,0.004541566209940467,0,0,0.0034308384779200693,0.007741798681761279,0,0.44342023011051196,0.0010057093558105776,0.05323333300798017,0,0.022193793266678804,0,0.0380842755101411,0.047047175711666174,0.1688541675589517,0,0.24835823244787594,1.0331968297183232
Sample_BkSQ.98_005.fq,0.0023317983709433975,0,0,0.016037087301258444,0,0.1109107109561082,0.018268929267612206,0.012599144083052108,0,0,0.06231042231792516,0,0,0.25530811629184313,0.002871865363009176,0.01703150882668251,0,0,0,0.06316123300702632,0.02556758803772344,0.4136015961768159,0,0.3861480670326273,0.9738303013461928
Sample_BkSQ.99_006.fq,0.005930001528864778,0,0,0.03288554004298055,0,0.08721849284829146,0,0,0.0013448970783065573,0,0.04275482491638314,0,0,0.567834849257989,0.007316568160370479,0.06781976353262203,0,0.006060892255041338,0,0.03395153202829633,0.03031884098864092,0.11656379736221349,0,0.21517520987175734,1.0814545872414938
Sample_BkSQ.101_007.fq,0.006092577667761442,0,0,0.003294575522609337,0,0.10402833464774967,0.014684926770758411,0,0,0,0.034114444243986346,0,0.08621567152550057,0.514704042139763,0.006192585633622751,0,0.003688759841058343,0,0,0.002545010335238701,0.01736115100487082,0.2070779206670806,0,0.31702147376853257,1.0158015485333949
Sample_BkSQ.102_012.fq,0.009629492624399215,0,0,0.029577992962017668,0,0.13581708692923433,0.01957814275321624,0,0,0,0.037938750797845075,0,0.007776439068730081,0.4867218457312602,0,0.1028030159122538,0,0.03690130733331266,0,0.0563503763907028,0.030517403333982653,0.046388146163045374,0,0.19249885643488357,1.064866314005873
Sample_BkSQ.103_002.fq,0.006516161416384389,0,0,0,0,0.06830293975095948,0.027210270794637885,0.018320031907249595,0,0,0.03956420344213215,0,0,0.09123834944771007,0,0,0,0.015016716152827623,0,0.021805746016579076,0.06784623753776688,0.644179343533753,0,0.5894379248217422,0.8687529190975051
Sample_BkSQ.104_004.fq,0.013011453185356063,0,0,0,0,0.1773291350899376,0,0.015327045423903785,0,0,0,0.04772557105861715,0.04911500207204804,0.2520583987288994,0.14679280602154823,0.06067624075848002,0.002483480542604994,0.04204398987362075,0.05013720927415577,0,0.03674916961262754,0.10655049835820071,0,0.3627392889995697,0.9445045252049507
Sample_BkSQ.187_002.fq,0,0.005931713160113172,0,0.007804328915958057,0,0.08181388737183237,0,0.0018377072199401595,0,0,0.002448121665617844,0.010474642296767533,0.016037732605988144,0.32768701163040154,0.016794903439654955,0.08026501162035088,0.032941894056570414,0.014216903900435994,0.01645723763462401,0,0.1565275007806389,0.22876140370110604,0,0.38063837271240364,0.9531206179212581
Sample_BkSQ.111_012.fq,0.015596973539381281,0,0,0,0,0.20116302406794911,0.03715592856562963,0,0,0,0.01033911225311451,0.03797188153463166,0.0946222643443064,0.24924791708884883,0.09463691750817727,0.029377286435093807,0.008597521428416645,0,0,0,0.08231792077804759,0.13897325245640332,0,0.3334746694330609,0.9582318341742931
Sample_BkSQ.115_006.fq,0.0084638060890351,0,0,0.059411046423904386,0.01434555093922255,0.15857364302338048,0,0,0,0,0,0.04684239155237255,0.08451332392450318,0.24714368232996853,0.05600003467075598,0.031434839763396144,0.006360755343237525,0,0.05092016264918263,0,0,0.23599076329104096,0,0.19741019304251323,1.0418698070488028
Sample_BkSQ.117_005.fq,0.005023922511681974,0,0.0012701462177216072,0.02439298065859889,0,0,0.19477527585264093,0,0,0,0.019994140894750136,0.11557075787978117,0.2736343461620584,0.04160470325013971,0.13342759416508598,0,0,0.048337715462813576,0.036541475316424134,0,0.10542694162830353,0,0,0.3234567982833851,0.9637275918311589
Sample_BkSQ.118_007.fq,0.006855036183139633,0,0.003779923358574318,0,0,0.17231719641212886,0,0,0,0,0.006040373777971305,0.017918961454294162,0.09215919604107711,0.4852520445140258,0.0002,0,0,0.01428937220062332,0,0.08771087876913726,0.033093855943320365,0.08037028736701318,0,0.24659660474283543,1.034070827282313
Sample_BkSQ.119_012.fq,0.005501902635396515,0,0,0.0034712858475741044,0,0.13983058991988945,0,0.0001,0,0,0,0.030397960366567393,0.14868756734217572,0.5264285888213118,0,0,0.06019190084514726,0,0,0,0.005242751574385576,0.0801120548280695,0,0.28478193963047777,1.0223042773060802
Sample_BkSQ.120_002.fq,0,0.024796827368563226,0,0.028310797963411172,0.024712908945260723,0.10911757968795231,0,0,0,0,0.03677584635022813,0,0.0035142027116702368,0.30899167058894433,0.001,0.19570529984916069,0,0.05969744810512221,0,0.02408577510074652,0.09462118265125065,0.08869631301039325,0,0.19996119773481907,1.0333058696299993
Sample_BkSQ.124_006.fq,0.0006,0,0,0,0,0.1277003636434758,0.016959546647294384,0.003092081030209644,0,0,0.04320773425516799,0,0.03391585815203654,0.17282038119360146,0.016923415285492918,0.03324760744972405,0,0.00496073290826373,0,0.075869306103293,0.04172096301012132,0.429017954654877,0,0.4253965854980955,0.9460059262005872
